,Age,Work_Experience,Family_Size,Gender_Male,Ever_Married_Yes,Graduated_Yes,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Spending_Score_High,Spending_Score_Low,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
0,22,1.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,67,1.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,67,0.0,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
5,56,0.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,32,1.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7,33,1.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
8,61,0.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9,55,1.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,26,1.0,3.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11,19,4.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
14,58,0.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
15,41,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
16,32,9.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
17,31,1.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
18,58,1.0,4.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,79,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,49,12.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
21,18,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
22,33,13.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23,36,5.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,56,1.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,31,9.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
27,49,1.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,35,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,35,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
