,Segmentation
0,D
2,B
3,B
5,C
6,C
7,D
8,D
9,C
10,A
11,D
14,B
15,C
16,D
17,B
18,B
19,C
20,A
21,D
22,A
23,B
25,C
26,A
27,C
28,B
29,C
30,C
31,A
32,D
34,D
35,D
36,D
37,D
38,A
40,B
41,D
42,A
44,A
46,B
48,D
49,A
50,B
51,C
52,A
53,C
54,A
55,B
56,D
58,C
60,C
61,C
62,D
63,A
64,A
65,A
66,A
67,A
68,B
70,D
71,A
72,B
73,D
74,C
75,B
76,D
77,A
78,C
80,C
81,D
82,A
83,B
84,A
85,D
86,C
87,C
88,D
89,D
90,B
91,C
92,C
93,D
94,B
96,D
97,C
98,C
99,D
100,C
101,B
102,A
103,A
104,B
105,D
106,D
107,D
109,D
111,A
113,C
114,D
115,B
116,D
117,C
119,A
120,C
121,B
122,B
123,D
124,D
125,A
127,C
128,A
129,C
130,A
131,C
132,D
134,B
135,A
137,D
138,D
139,B
140,A
141,C
142,C
144,B
145,C
146,A
147,B
148,D
149,C
150,A
151,A
152,C
153,B
154,C
155,D
156,C
157,C
158,B
159,C
160,C
161,D
162,A
164,C
165,C
166,C
167,D
168,B
169,C
170,B
171,C
172,B
173,B
174,C
175,C
176,D
177,D
178,D
179,A
180,C
183,C
184,A
187,A
188,D
189,B
190,B
191,C
192,D
194,C
195,A
196,A
197,B
198,A
199,B
200,C
202,D
203,A
204,A
205,D
206,D
207,C
208,B
210,B
211,B
212,C
214,C
215,D
216,C
221,A
222,A
223,D
224,D
226,B
227,B
228,D
232,B
234,A
235,C
236,B
238,B
239,C
240,C
241,C
242,A
243,C
244,C
245,A
246,D
247,B
248,A
249,B
251,B
253,C
254,B
255,A
258,A
259,A
260,C
262,D
264,B
265,D
266,B
267,C
268,A
269,A
270,C
271,D
273,B
274,B
275,B
276,C
277,B
278,A
279,D
280,C
281,A
282,C
283,A
284,C
285,B
286,D
287,A
288,D
289,C
291,D
293,D
294,D
295,B
296,A
297,A
298,A
299,B
302,D
303,D
